省份,城市,Id,url,hotelId
北京,北京,1,beijing1,1
重庆,重庆,158,chongqing158,4
上海,上海,2,shanghai2,2
浙江,杭州,14,hangzhou14,17
浙江,宁波,83,ningbo83,375
浙江,绍兴,18,shaoxing18,22
浙江,舟山,479,zhoushan479,19
浙江,温州,153,wenzhou153,491
浙江,湖州,68,huzhou68,86
浙江,丽水,441,lishui441,346
浙江,嘉兴,272,jiaxing272,571
四川,成都,104,chengdu104,28
四川,阿坝,744,aba744,1838
四川,九寨沟,25,jiuzhaigou25,91
四川,峨眉山,24,emeishan24,95
四川,乐山,103,leshan103,345
四川,稻城,342,daocheng342,1222
四川,康定,344,kangding344,4130
四川,甘孜,754,ganzi754,4124
四川,都江堰,911,dujiangyan911,94
福建,厦门,21,xiamen21,25
福建,福州,164,fuzhou164,258
福建,武夷山,22,wuyishan22,26
福建,泉州,243,quanzhou243,406
福建,漳州,334,zhangzhou334,560
香港,香港,38,hongkong38,58
台湾,台北,360,taipeicity360,617
台湾,高雄,756,gaoxiong756,720
台湾,花莲,1366,hualien1366,6974
台湾,屏东,1364,pingtung1364,5589
台湾,南投,759,nantou759,7524
台湾,台南,757,tainan757,3847
江苏,苏州,11,suzhou11,14
江苏,南京,9,nanjing9,12
江苏,无锡,10,wuxi10,13
江苏,扬州,12,yangzhou12,15
江苏,徐州,230,xuzhou230,512
江苏,镇江,13,zhenjiang13,16
江苏,常州,206,changzhou206,213
云南,丽江,32,lijiang32,37
云南,大理,31,dali31,36
云南,昆明,29,kunming29,34
云南,西双版纳,30,xishuangbanna30,35
云南,香格里拉,106,xianggelila106,660
云南,腾冲,696,tengchong696,1819
湖北,武汉,145,wuhan145,477
湖北,宜昌,313,yichang313,515
湖北,神农架,147,shennongjia147,657
湖北,恩施,487,enshi487,245
湖北,十堰,464,shiyan464,452
广东,广州,152,guangzhou152,32
广东,深圳,26,shenzhen26,30
广东,珠海,27,zhuhai27,31
广东,佛山,207,foshan207,251
广东,惠州,213,huizhou213,299
广东,肇庆,269,zhaoqing269,552
天津,天津,154,tianjin154,3
澳门,澳门,39,macau39,59
辽宁,大连,4,dalian4,6
辽宁,沈阳,155,shenyang155,451
辽宁,丹东,315,dandong315,221
辽宁,葫芦岛,345,huludao345,1050
辽宁,本溪,463,benxi463,1155
湖南,长沙,148,changsha148,206
湖南,张家界,23,zhangjiajie23,27
湖南,凤凰,988,fenghuang988,866
湖南,湘西,496,xiangxi496,3910
湖南,衡阳,864,hengyang864,297
广西,桂林,28,guilin28,33
广西,北海,140,beihai140,189
广西,南宁,166,nanning166,380
广西,阳朔,702,yangshuo702,871
广西,柳州,143,liuzhou143,354
陕西,西安,7,xian7,10
陕西,延安,423,yanan423,110
陕西,宝鸡,422,baoji422,112
陕西,渭南,908,weinan908,1030
陕西,汉中,486,hanzhong486,129
黑龙江,哈尔滨,151,haerbin151,5
黑龙江,牡丹江,264,mudanjiang264,150
黑龙江,漠河,983,mohe983,155
黑龙江,伊春,498,yichun498,517
黑龙江,海林,2240,hailin2240,1666
西藏,拉萨,36,lhasa36,41
西藏,林芝,126,linzhi126,108
西藏,阿里,99,ali99,97
西藏,日喀则,100,rikaze100,92
西藏,昌都,559,changdu559,575
海南,三亚,61,sanya61,43
海南,海口,37,haikou37,42
海南,三沙,120101,sansha120101,-1
海南,琼海,843,qionghai843,52
海南,万宁,846,wanning846,45
山东,青岛,5,qingdao5,7
山东,威海,169,weihai169,479
山东,济南,128,jinan128,144
山东,烟台,170,yantai170,533
山东,泰安,746,taian746,454
山东,日照,622,rizhao622,1106
贵州,贵阳,33,guiyang33,38
贵州,黔东南,2375,qiandongnan2375,21778
贵州,安顺,518,anshun518,179
贵州,镇远,1840,zhenyuan1840,986
贵州,黔南,2374,qiannan2374,21179
青海,西宁,237,xining237,124
青海,海西,120012,haixi120012,7589
青海,海北,120014,haibei120014,7807
青海,湟源,2643,huangyuan2643,2536
青海,格尔木,332,geermu332,132
河北,秦皇岛,132,qinghuangdao132,147
河北,承德,135,chengde135,562
河北,石家庄,199,shijiazhuang199,428
河北,张家口,497,zhangjiakou497,550
河北,保定,459,baoding459,185
吉林,长春,216,changchun216,158
吉林,延边,415,yanbian415,867
吉林,吉林市,267,jilinshi267,159
吉林,白山,871,baishan871,3886
吉林,延吉,475,yanji475,523
山西,太原,167,taiyuan167,105
山西,平遥,365,pingyao365,104
山西,大同,275,datong275,136
山西,晋中,639,jingzhong639,1453
山西,忻州,783,xinzhou783,513
河南,郑州,157,zhengzhou157,559
河南,洛阳,198,luoyang198,350
河南,开封,165,kaifeng165,331
河南,焦作,663,jiaozuo663,1093
河南,南阳,591,nanyang591,385
宁夏,银川,239,yinchuan239,99
宁夏,中卫,1184,zhongwei1184,556
宁夏,石嘴山,889,shizuishan889,4216
宁夏,吴忠,890,wuzhong890,7587
宁夏,固原,888,guyuan888,321
安徽,黄山,120061,huangshan120061,23
安徽,合肥,196,hefei196,278
安徽,黟县,528,yixian528,403
安徽,青阳,2613,qingyang2613,20932
安徽,芜湖,457,wuhu457,478
新疆,乌鲁木齐,117,urumqi117,39
新疆,阿勒泰,427,aletai427,175
新疆,伊犁,115,yili115,98
新疆,吐鲁番,35,tulufan35,40
新疆,喀什,124,kashi124,109
甘肃,兰州,231,lanzhou231,100
甘肃,敦煌,8,dunhuang8,11
甘肃,甘南,426,gannan426,7844
甘肃,嘉峪关,284,jiayuguan284,326
甘肃,张掖,283,zhangye283,663
甘肃,酒泉,282,jiuquan282,662
内蒙古,呼伦贝尔,458,hulunbeier458,4255
内蒙古,呼和浩特,156,huhehaote156,103
内蒙古,满洲里,319,manzhouli319,1083
内蒙古,赤峰,483,chifeng483,202
内蒙古,包头,347,baotou347,141
江西,景德镇,405,jingdezhen405,305
江西,婺源,446,wuyuan446,489
江西,南昌,175,nanchang175,376
江西,九江,877,jiujiang877,24
江西,上饶,547,shangrao547,411
